"","countyFIPS","percap_personal_income_2020","household_size","median_age_2019","total_votes","pop_65_plus_ratio","urban_code_2013","perc_b","total_deaths_per_1000","perc_trump"
"85",171,37303,2.71,37.8,9035,0.174809199937698,2,30.652012318148,174.312413719868,70.0719424460432
"86",173,31021,2.7,35.6,3576,0.147899785787464,4,23.704195936966,103.854186443896,70.2460850111857
"87",175,41650,2.7,38.9,22728,0.183869338272436,5,38.3111129862459,181.250527381656,63.7803590285111
"88",177,51908,2.73,37.2,16714,0.134484355361514,4,22.3104086093829,128.737178409282,71.8379801364126
"89",179,40087,2.59,28.4,21422,0.0999301631642435,4,46.4997823949451,176.308451135576,37.1580618056204
"90",181,40424,2.25,47.1,4642,0.252272444278421,3,30.9118426031025,108.588724933787,68.3541576906506
"91",183,29738,3.22,32.9,5659,0.105101383173863,4,28.1243501767519,115.876481597006,62.3078282382046
"92",185,41117,2.73,30.5,46357,0.1302127371732,4,38.2398914425092,130.810058744718,55.4975516103285
"93",187,41181,2.62,37,15531,0.184490727198268,6,2.89315035293405,198.854857766064,78.3143390638079
"94",189,41111,2.62,37.7,10452,0.187080616198847,3,41.581012894786,139.319753317137,58.8021431305013
"95",191,34500,2.33,49.4,6696,0.289566970181414,4,35.788140958008,138.636843215868,60.0059737156511
"96",193,33955,2.46,40.3,4670,0.186674008810573,6,62.554360265507,91.5541313801785,38.5224839400428
"97",195,38890,2.67,41.1,14937,0.17848113734117,4,9.79611126113962,201.390764245207,75.8251322219991
"98",197,31621,2.52,44.6,3624,0.210427430718647,3,31.3609467455621,113.491124260355,62.7759381898455
"99",199,39121,2.55,42.3,10877,0.210829710829711,2,40.7210626185958,154.316888045541,59.9797738346971
"100",201,49844,2.46,43.5,2833,0.223052294557097,6,31.2314410480349,225.502183406114,72.9262266148959
"101",205,39711,2.56,39,8963,0.174474585686511,6,47.6123595505618,140.81188836535,55.0596898359924
"102",207,48985,2.65,42.9,15598,0.198095713572498,4,23.4419959934438,142.050628300856,70.8937043210668
"103",209,34061,2.71,40,3967,0.180758988015979,5,27.1584518690043,162.972764362113,74.6155785228132
"104",211,55032,2.71,44.6,11706,0.209309431656142,2,24.7291843670348,154.577315208156,70.2801981889629
"105",213,33841,2.79,38.2,15392,0.155300759392486,4,1.33705295433411,228.806956696574,84.0891372141372
"106",215,48080,2.6,34,80504,0.141380152920455,3,49.1377457552528,164.063699352158,37.2962834144887
"107",217,38256,2.87,36.4,54252,0.135831237036056,2,47.6168798652524,164.865480038239,44.0315564403156
"108",219,71768,2.81,40.4,25167,0.162605777648089,4,5.99326427514415,176.659692810124,65.94349743712
"109",221,38236,2.61,42.4,8131,0.196450627315868,4,18.6170212765957,158.045212765957,68.773828557373
"110",223,42595,2.96,36,85347,0.11341205244608,2,22.2926295305279,158.562393578205,63.8710206568479
"111",225,41931,2.47,37.9,12564,0.16737030411449,4,45.2876154461494,133.990255254163,51.8385864374403
"112",227,50868,2.57,45.4,17136,0.228122075648263,2,2.3436035247797,159.67752015499,82.2070494864612
"113",229,39979,2.68,39.4,9048,0.176467575043541,5,10.6071576334299,147.18659495242,87.3121131741821
"114",231,44311,2.92,40.4,10719,0.164740337848439,2,9.77646108268247,147.697279827633,85.147868271294
"115",233,36190,2.76,37,17377,0.159383753501401,5,13.5783768431516,219.024401789307,78.155032514243
"116",235,34636,2.55,43.1,4084,0.232418908051113,4,38.8198480107287,109.164059007599,68.9520078354554
"117",237,48498,2.46,46.2,11855,0.251420959147425,6,26.9195654158678,166.757965854104,69.9367355546183
"118",239,34810,2.44,47.3,1106,0.321003963011889,6,48.9519650655022,105.676855895196,54.6112115732369
"119",241,44160,2.44,49.2,9568,0.286632316331847,6,2.01672697075746,166.37997508749,78.1040969899665
"120",243,37204,2.64,41,3074,0.261747979646812,6,64.4018583042973,124.274099883856,45.2504879635654
"121",245,41999,2.65,34.1,87020,0.149065464496558,3,58.53703172452,180.252055119746,30.7595954952884
"122",247,40051,2.89,38.1,44680,0.152816723298035,2,58.1077033997005,167.334035827187,29.3845120859445
"123",249,35588,2.78,37.8,2275,0.179368745188607,5,28.4372003835091,101.054650047939,79.1208791208791
"124",251,37694,2.58,41.4,6631,0.202183842420782,6,41.6684553194534,131.859483437075,59.3575629618459
"125",253,48082,2.51,44.9,3888,0.241191066997519,6,36.274032611341,200.778778291555,67.2067901234568
"126",255,38792,2.63,39.2,30116,0.188818346337556,2,35.6782702178883,158.533076934724,59.958161774472
"127",257,40153,2.63,41.8,11886,0.202282912628797,5,12.8904141281715,227.539137811367,78.8238263503281
"128",259,25041,2.2,35.4,1990,0.148901181043504,6,57.3844244492709,327.955321129383,40.3015075376884
"129",261,40387,2.4,35.7,12138,0.17618332081142,5,53.5269569899711,131.789728747392,47.0835392980722
"130",263,38621,2.3,50.1,3522,0.264854305713821,6,57.4539631705364,151.000800640512,39.5229982964225
"131",265,36860,2.71,44.2,928,0.289372599231754,6,58.5213032581454,115.288220551378,38.7931034482759
"132",267,30222,2.3,37.3,8184,0.152966686378869,6,29.9070573408948,136.06647763075,73.985826001955
"133",269,33630,2.34,45.2,3842,0.218726777309884,6,38.6044794486832,140.782672901797,62.9880270692348
"134",271,22644,2.6,41.5,4334,0.193523857803688,6,39.4430092621763,78.7600025203201,65.1130595293032
"135",273,44976,2.63,41.1,4416,0.205092103719348,4,58.3082967413913,137.046452507511,45.4936594202899
"136",275,49443,2.53,40.4,21914,0.191134048499053,5,37.6809967448647,198.697945897407,59.4460162453226
"137",277,42279,2.56,36.2,16282,0.156659053513102,5,30.7834441980783,154.767184035477,66.220366048397
"138",279,40041,2.56,36.4,10918,0.172246320394469,5,26.9380636063384,202.397298400564,72.1102766074373
"139",281,42908,2.22,54,7979,0.353474320241692,6,1.84511214557766,173.338975878121,80.0225592179471
"140",283,31899,2.39,40.1,3077,0.184696569920844,6,29.3207602770001,167.526152939443,68.2807929801755
"141",285,40920,2.74,36.4,30056,0.15625089013587,5,37.3792709893716,172.137812968115,60.3739685919617
"142",287,39281,2.51,40.3,3792,0.191321999492515,6,41.0858585858586,140.530303030303,61.9462025316456
"143",289,44686,2.71,45.7,4445,0.236702455880538,4,42.1232458816351,127.150701647346,53.2283464566929
"144",291,39839,2.45,54.3,15562,0.345650287877593,6,1.01254218925789,179.465811075461,81.300604035471
"145",293,39391,2.52,42.1,12908,0.18954273004863,5,28.5426715788674,158.228569258232,66.7260613572978
"146",295,36157,2.62,41.4,29337,0.193279707912602,3,5.21772961756823,196.259258191879,78.9276340457443
"147",297,44977,2.87,38.7,51040,0.162105806451613,2,18.8006517730801,170.232837356889,74.173197492163
"148",299,37306,2.38,39.5,14193,0.17827834533579,5,32.0632256259617,167.603860679815,69.7667864440217
"149",301,39545,2.26,45.1,2650,0.230886850152905,6,61.0192051720859,124.358243011979,44.0754716981132
"150",303,39151,2.53,41.5,9478,0.181836228287841,6,54.4546170506005,159.13565662532,49.2719983118801
"151",305,34877,2.67,38.9,12766,0.165173367085235,5,22.4873994459094,191.194632664642,78.3409055303149
"152",307,36032,2.37,45.1,1391,0.242774566473988,6,33.977580208736,97.4101275608813,53.8461538461538
"153",309,21087,3.42,38.8,2285,0.155850857953812,6,39.1414461187793,118.14613144232,69.2778993435449
"154",311,38858,2.46,46.1,14816,0.233292596642439,6,2.71343702022562,209.064815432882,82.4919006479482
"155",313,43456,2.84,36,36786,0.147067037761106,4,4.46303374887152,262.394114596339,69.771108573914
"156",315,29895,2.59,39.8,3280,0.188779110797459,6,35.743018043903,95.1614756924491,73.2621951219512
"157",317,42093,2.52,45.1,5030,0.241799050959356,6,43.3397978973155,114.933142798816,56.10337972167
"158",319,40158,2.77,42.6,4765,0.208465728551975,6,40.1229737283399,183.566238121856,55.9706190975866
"159",321,39102,2.55,41.6,9287,0.200530743040256,4,28.7574953307775,115.010321439104,73.532895445246
